student_id,age_group,gender,first_gen_student,scholarship,current_gpa,prev_gpa,attendance_rate,assignment_missed,avg_submission_delay_days,lms_login_per_week,family_income_band,hostel_resident,working_part_time,semester,gpa_change,attendance_trend,dropout_next_semester
1.0,18-20,Female,1.0,0.0,6.02,6.95,69.2,0.0,4.6,4.7,Medium,0.0,0.0,8.0,-0.93,-9.5,0.0
2.0,24+,Female,0.0,0.0,5.93,6.08,93.4,5.0,2.4,2.2,Medium,0.0,1.0,3.0,-0.15,-5.1,1.0
3.0,21-23,Male,0.0,1.0,6.93,7.2,65.6,1.0,0.6,6.0,Low,1.0,0.0,6.0,-1.29,10.5,0.0
4.0,21-23,Male,1.0,0.0,7.21,6.59,78.0,1.0,2.0,11.8,High,0.0,0.0,6.0,0.62,2.0,0.0
5.0,18-20,Female,1.0,0.0,6.66,6.97,80.2,2.0,0.2,9.6,Low,1.0,0.0,8.0,-0.31,14.9,1.0
6.0,18-20,Male,0.0,1.0,6.41,8.99,97.4,2.0,4.9,7.1,High,1.0,0.0,6.0,-2.58,-1.8,0.0
7.0,18-20,Male,0.0,1.0,8.07,6.86,72.9,2.0,2.0,5.4,Low,1.0,0.0,4.0,1.21,-2.2,0.0
8.0,24+,Female,1.0,0.0,9.576940284861957,8.42,52.5,3.0,3.2,8.3,Medium,0.0,0.0,4.0,-1.71,8.6,1.0
9.0,21-23,Male,0.0,0.0,5.58,7.59,70.4,2.0,5.1,8.0,Medium,0.0,0.0,1.0,-2.01,-4.7,1.0
10.0,21-23,Female,0.0,0.0,5.7,6.65,100.0,2.0,0.0,2.2,Medium,0.0,0.0,3.0,-0.95,-6.3,1.0
11.0,18-20,Male,1.0,0.0,7.05,7.54,72.9,2.0,7.8,2.7,Medium,0.0,0.0,3.0,-0.49,0.4,1.0
12.0,24+,Male,1.0,1.0,9.8,6.48,60.2,1.0,2.3,1.3,High,1.0,1.0,8.0,3.32,-6.4,1.0
13.0,21-23,Female,1.0,1.0,5.82,7.2,60.6,1.0,3.6,6.7,High,0.0,0.0,5.0,-2.28,1.2,1.0
14.0,18-20,Female,1.0,1.0,6.49,8.45,61.8,2.0,1.1,5.2,Low,0.0,1.0,3.0,-1.96,3.1,1.0
15.0,18-20,Female,0.0,0.0,9.2,7.25,46.4,2.0,0.6,7.8,Low,1.0,0.0,1.0,1.95,12.0,0.0
16.0,18-20,Female,1.0,1.0,6.32,8.54,90.4,0.0,2.5,9.7,Medium,0.0,0.0,1.0,-2.22,-12.6,0.0
17.0,18-20,Male,0.0,0.0,9.98556313523394,7.36,45.5,2.0,1.3,7.0,Medium,0.0,0.0,5.0,-0.1,16.7,0.0
18.0,21-23,Male,1.0,0.0,8.68,8.11,71.3,1.0,2.7,5.7,Medium,1.0,0.0,3.0,0.57,-4.6,0.0
19.0,18-20,Male,0.0,0.0,5.85,10.0,48.1,0.0,1.8,9.9,Medium,0.0,0.0,2.0,-4.15,17.2,1.0
20.0,18-20,Male,0.0,0.0,6.49,9.68,88.9,0.0,0.2,6.0,Low,1.0,1.0,5.0,-3.19,-3.4,1.0
