student_id,age_group,gender,first_gen_student,scholarship,current_gpa,prev_gpa,attendance_rate,assignment_missed,avg_submission_delay_days,lms_login_per_week,family_income_band,hostel_resident,working_part_time,semester,gpa_change,attendance_trend,dropout_next_semester
1,18-20,Female,1,0,6.02,6.95,69.2,0,4.6,4.7,Medium,0,0,8,-0.93,-9.5,0
2,24+,Female,0,0,5.93,6.08,93.4,5,2.4,2.2,Medium,0,1,3,-0.15,-5.1,1
3,21-23,Male,0,1,6.93,,65.6,1,0.6,,Low,1,0,6,-1.29,10.5,0
4,21-23,Male,1,0,7.21,6.59,78.0,1,2.0,11.8,High,0,0,6,0.62,2.0,0
5,18-20,F,1,0,6.66,6.97,80.2,2,0.2,9.6,Low,1,0,8,-0.31,14.9,1
6,18-20,M,0,1,6.41,8.99,97.4,2,4.9,7.1,High,1,0,6,-2.58,-1.8,0
7,18-20,Male,0,1,8.07,6.86,,2,2.0,5.4,Low,1,0,4,1.21,-2.2,0
8,24+,Female,1,0,9.576940284861955,8.42,52.5,3,3.2,8.3,Medium,0,0,4,-1.71,8.6,1
9,21-23,Male,0,0,5.58,7.59,70.4,2,5.1,8.0,Medium,0,0,1,-2.01,-4.7,1
10,21-23,Female,0,0,5.7,6.65,100.0,2,0.0,2.2,Medium,0,0,3,-0.95,-6.3,1
11,18-20,Male,1,0,7.05,7.54,,2,7.8,2.7,Medium,0,0,3,-0.49,0.4,1
12,24+,Male,1,1,9.8,6.48,60.2,1,2.3,1.3,High,1,1,8,3.32,-6.4,1
13,21-23,F,1,1,5.82,,60.6,1,3.6,6.7,High,0,0,5,-2.28,1.2,1
14,18-20,Female,1,1,6.49,8.45,61.8,2,1.1,5.2,Low,0,1,3,-1.96,3.1,1
15,18-20,Female,0,0,9.2,7.25,46.4,2,0.6,7.8,Low,1,0,1,1.95,12.0,0
16,18-20,Female,1,1,6.32,8.54,90.4,0,,9.7,Medium,0,0,1,-2.22,-12.6,0
17,18-20,Male,0,0,9.98556313523394,7.36,45.5,2,1.3,7.0,Medium,0,0,5,-0.1,16.7,0
18,21-23,Male,1,0,8.68,8.11,71.3,1,2.7,5.7,Medium,1,0,3,0.57,-4.6,0
19,18-20,Male,0,0,5.85,10.0,48.1,0,1.8,9.9,Medium,0,0,2,-4.15,17.2,1
20,18-20,Male,0,0,6.49,9.68,88.9,0,0.2,,Low,1,1,5,-3.19,-3.4,1
21,21-23,Male,0,1,6.32,7.02,86.1,1,1.5,6.2,Low,1,0,6,-0.7,-1.8,0
22,18-20,Male,0,0,5.28,7.49,,1,0.2,5.4,Low,1,0,2,-2.21,8.2,0
23,18-20,Female,1,0,8.37,6.15,85.5,2,8.6,5.5,High,1,0,4,2.22,-13.3,0
24,18-20,Female,1,0,6.21,8.0,96.7,3,,0.0,Medium,0,0,2,-1.79,-8.2,1
25,18-20,Male,1,1,5.92,7.59,67.9,2,3.0,9.9,Medium,1,1,3,-1.67,-12.1,0
26,21-23,Female,1,0,,6.43,92.4,3,0.3,0.8,High,0,0,1,-0.07,9.5,1
27,18-20,Female,0,0,7.73,8.39,55.1,0,1.1,8.0,High,1,0,2,-0.66,4.0,1
28,21-23,Female,1,1,6.91,6.93,69.8,1,1.5,3.0,Low,0,0,3,-0.02,9.8,0
29,21-23,Male,1,0,6.01,6.68,45.5,0,4.8,,High,0,0,6,-0.67,0.8,1
30,18-20,M,1,0,7.21,7.6,,0,0.3,7.3,Medium,1,1,4,-0.39,-10.0,0
31,21-23,M,0,0,7.61,6.73,70.2,2,1.8,7.6,Medium,1,0,4,0.88,-0.4,0
32,18-20,Male,1,0,6.78,7.17,95.0,2,3.4,10.1,Medium,0,0,4,-0.39,-2.1,0
33,18-20,F,1,1,6.57,8.95,,0,2.1,,High,0,0,4,-2.38,-7.8,1
34,24+,Male,0,0,7.82,6.59,82.0,2,0.8,8.9,Medium,0,0,2,1.23,1.5,1
35,24+,Male,1,1,6.62,,90.9,1,0.3,8.7,Low,0,0,6,-1.26,1.9,0
36,21-23,Male,1,0,8.41,6.62,63.0,3,2.1,6.5,Medium,0,0,7,1.79,2.0,1
37,18-20,Female,0,1,6.04,6.23,54.3,1,1.6,2.2,High,1,0,5,-0.19,4.9,1
38,18-20,Female,1,0,6.02,,,1,4.4,8.2,Low,0,0,5,-1.1,-1.9,0
39,21-23,Female,1,0,5.9,9.88,60.6,0,1.9,8.7,Low,0,0,1,-3.98,5.9,1
40,18-20,Female,1,0,6.56,7.98,80.9,2,1.7,3.3,Low,0,0,2,-1.42,-5.9,0
41,18-20,Female,0,0,6.8,7.66,,1,4.9,4.9,Low,0,0,4,-0.86,6.5,1
42,18-20,M,1,0,5.47,6.68,100.0,0,0.6,0.7,Medium,0,0,6,-1.21,5.4,1
43,18-20,Female,0,0,6.9,6.82,,1,2.3,8.8,Low,0,1,3,0.08,11.8,0
44,24+,Female,0,0,7.37,5.72,98.5,2,4.0,,Medium,1,0,5,1.65,6.3,0
45,18-20,Male,1,0,9.967418235080526,9.0,58.6,4,5.3,,Medium,0,0,1,-3.67,4.1,1
46,21-23,Male,1,0,6.28,7.47,84.3,1,0.0,8.5,Low,0,0,5,-1.19,10.0,0
47,18-20,Male,1,0,7.37,7.38,74.3,2,3.2,7.9,High,1,0,1,-0.01,-0.9,0
48,21-23,Female,0,1,5.71,7.4,91.4,1,2.6,,Low,0,1,2,-1.69,-12.3,0
49,21-23,Male,0,0,6.48,9.29,66.4,4,0.4,9.0,High,0,0,3,-2.81,6.4,1
50,18-20,Female,1,1,7.89,7.5,98.4,1,0.0,5.7,Low,0,1,1,0.39,-9.7,1
51,24+,Male,0,0,8.6,7.01,49.5,2,0.0,9.1,Low,1,1,6,1.59,7.6,0
52,21-23,Female,1,1,7.24,9.0,99.2,1,9.9,4.7,Medium,0,0,7,-1.76,-14.5,1
53,24+,Female,1,0,6.63,7.07,91.5,2,4.9,9.7,Low,0,0,8,-0.44,8.8,0
54,24+,Female,1,1,6.3,,92.7,5,2.6,6.7,Low,0,0,5,0.79,16.1,0
55,21-23,Female,0,0,7.71,5.67,91.3,2,0.8,5.9,High,0,0,4,2.04,2.0,0
56,24+,Male,1,1,7.93,7.01,92.4,2,3.6,6.1,Medium,1,1,8,0.92,-4.8,0
57,18-20,Male,1,1,5.64,7.49,0.0,2,0.1,9.6,High,0,1,6,-1.85,-0.3,0
58,18-20,M,0,0,7.71,,94.5,1,3.2,4.7,High,1,0,6,-0.31,5.4,0
59,18-20,Male,0,0,6.19,6.28,,2,4.2,6.8,Low,0,0,3,-0.09,4.5,1
60,18-20,Female,0,1,5.94,,96.7,4,2.2,3.0,Low,1,0,4,-1.03,-8.4,1
61,18-20,F,0,0,6.65,6.39,66.2,2,1.3,4.6,Low,0,1,6,0.26,13.0,0
62,18-20,Male,1,0,7.79,8.31,85.1,2,1.5,7.6,Medium,0,0,8,-0.52,-7.0,0
63,21-23,Female,1,0,7.11,8.48,84.1,4,4.4,4.1,Low,0,1,4,-1.37,-8.1,1
64,18-20,Female,1,0,7.08,9.16,90.1,1,2.4,,Low,0,0,3,-2.08,-5.4,0
65,18-20,F,0,1,7.15,7.55,85.6,2,5.8,10.4,Medium,1,1,2,-0.4,2.2,0
66,21-23,Female,1,0,7.27,9.07,46.9,3,1.2,4.3,Medium,0,0,2,-1.8,2.0,1
67,18-20,Male,0,0,6.69,6.51,,1,0.0,4.4,Low,0,0,8,0.18,-1.9,0
68,21-23,F,1,0,7.43,7.42,46.3,3,2.7,8.7,Low,0,0,5,0.01,5.0,1
69,18-20,Male,1,0,6.14,6.14,,2,3.4,6.9,Low,1,0,8,0.0,-2.2,0
70,24+,Female,1,1,7.45,7.77,91.1,2,2.4,1.6,Low,1,0,8,-0.32,-1.3,0
71,21-23,Female,1,0,7.66,7.48,0.0,2,5.3,3.5,Medium,0,0,2,0.18,-3.7,0
72,18-20,Male,1,0,7.5,4.75,91.3,1,,,High,1,0,2,2.75,2.0,0
73,18-20,Female,1,0,7.55,8.31,,1,2.5,11.9,High,0,0,4,-0.76,-6.2,0
74,21-23,Female,1,1,7.26,,55.1,2,4.7,8.9,High,0,0,8,-0.8,-2.3,1
75,21-23,F,0,0,7.97,6.64,72.9,0,6.1,13.6,Medium,1,0,6,1.33,3.6,0
76,21-23,Female,1,0,4.53,7.48,73.4,3,2.1,6.1,Low,0,0,5,-2.95,11.6,1
77,21-23,Female,1,0,7.65,5.71,62.9,2,7.9,0.0,Medium,0,0,8,1.94,-18.1,1
78,18-20,Male,0,0,8.78,6.43,,2,2.7,13.5,Low,0,0,1,2.35,0.3,0
79,18-20,Female,0,0,,8.87,93.0,1,5.9,3.2,Medium,1,0,2,-2.69,0.5,1
80,18-20,Male,1,0,6.07,6.05,,1,,1.7,Medium,1,0,8,0.02,-8.2,0
81,24+,Female,0,1,8.09,7.21,0.0,1,2.2,8.6,Low,1,0,4,0.88,-6.5,0
82,21-23,Female,0,1,5.87,5.8,72.3,0,4.8,10.3,Medium,1,0,3,0.07,-9.6,0
83,18-20,Male,1,1,,,79.0,0,4.1,9.8,Low,1,0,8,-1.41,8.6,0
84,18-20,Male,1,0,6.97,7.76,,1,2.5,,Low,0,0,1,-0.79,-14.3,1
85,18-20,Female,1,0,6.0,7.92,96.2,1,0.4,,Low,0,0,5,-1.92,-8.8,1
86,18-20,Male,0,0,7.68,7.67,69.0,2,7.8,7.1,Medium,1,0,3,0.01,-6.8,0
87,21-23,Male,0,1,6.01,8.63,86.2,1,2.0,10.1,Low,1,1,4,-2.62,-5.9,0
88,21-23,Female,0,0,7.16,6.65,81.7,2,2.6,,Medium,1,1,5,0.51,-1.2,0
89,24+,Male,0,1,7.08,6.14,89.0,0,1.4,5.9,Low,0,1,1,0.94,-5.2,0
90,18-20,Female,0,0,8.46,6.61,46.9,0,1.4,9.1,Medium,1,0,7,1.85,-1.4,1
91,18-20,Female,1,1,7.97,5.85,,1,4.3,8.9,Low,1,0,5,2.12,-10.3,0
92,21-23,Male,0,0,6.27,7.28,90.6,1,2.2,4.8,Low,1,0,8,-1.01,-13.7,0
93,21-23,Female,0,0,9.595313669157388,7.06,90.9,0,7.8,,Medium,0,0,5,-1.52,0.9,1
94,21-23,Male,0,0,7.64,7.68,70.7,1,3.1,,Low,1,0,6,-0.04,8.6,0
95,21-23,Female,0,1,6.15,5.58,100.0,1,1.3,,Low,0,0,8,0.57,0.1,0
96,18-20,Male,0,1,6.46,7.19,76.6,0,5.9,5.9,High,0,0,8,-0.73,-1.4,1
97,21-23,Male,0,1,5.74,8.41,72.7,1,7.4,0.0,High,1,1,1,-2.67,-1.2,1
98,18-20,Female,1,0,7.48,7.77,100.0,4,5.2,3.8,Medium,1,1,6,-0.29,-3.8,1
99,18-20,Male,0,1,6.15,5.3,,0,2.8,7.3,Low,1,1,7,0.85,10.1,0
100,18-20,Male,0,0,6.76,7.19,,3,2.1,7.9,Medium,1,0,8,-0.43,11.2,1
101,18-20,Male,0,0,6.78,6.47,,2,0.8,4.3,Low,0,0,4,0.31,9.4,0
102,21-23,M,0,0,6.98,7.21,79.2,0,3.2,2.7,High,0,1,5,-0.23,12.9,0
103,18-20,Female,0,0,7.46,,94.7,4,3.3,5.7,Medium,0,0,2,0.64,5.0,0
104,21-23,Male,0,0,6.56,8.94,96.3,2,0.2,5.2,Low,1,0,2,-2.38,1.9,0
105,24+,Male,0,1,6.06,7.29,91.1,2,2.7,9.0,Medium,0,1,6,-1.23,-2.3,0
106,18-20,Female,1,0,4.94,7.52,59.0,6,4.7,9.0,Low,0,0,1,-2.58,1.2,1
107,18-20,Female,0,0,6.9,7.16,71.0,1,1.9,2.3,Medium,0,1,1,-0.26,0.6,0
108,21-23,Female,0,0,6.64,7.67,68.8,1,3.2,5.4,Medium,0,0,5,-1.03,10.5,0
109,18-20,F,0,0,6.09,,69.1,1,,,Low,0,1,6,-0.89,4.5,0
110,18-20,Female,0,0,6.86,7.97,,2,6.1,4.9,Medium,1,0,6,-1.11,12.4,1
111,18-20,Male,0,0,7.66,6.81,54.6,1,1.2,10.2,Medium,0,0,8,0.85,-7.4,0
112,18-20,M,0,0,7.91,8.58,53.4,2,,1.5,Medium,1,1,2,-0.67,16.5,1
113,24+,Male,0,0,5.26,7.7,78.9,4,3.0,4.0,Medium,0,1,5,-2.44,-1.8,1
114,21-23,F,0,0,6.44,7.05,67.6,2,2.1,6.2,Low,0,1,4,-0.61,13.3,0
115,21-23,M,0,0,7.76,8.04,62.8,4,4.4,,Low,1,0,7,-0.28,-2.7,1
116,24+,M,0,0,8.4,7.69,69.4,0,1.8,4.8,Low,0,1,8,0.71,4.1,0
117,21-23,Female,0,0,5.98,8.03,62.8,2,1.3,0.5,High,1,0,2,-2.05,-1.1,1
118,18-20,Male,1,0,9.857231039022198,7.29,86.7,2,,9.6,Low,0,1,4,0.89,2.3,0
119,24+,Female,1,0,5.45,6.96,54.2,3,3.0,7.8,Medium,1,1,5,-1.51,3.0,1
120,21-23,M,1,0,7.95,7.34,0.0,3,,0.0,High,1,0,5,0.61,-2.0,1
121,21-23,Female,1,0,6.52,6.7,80.8,1,3.0,9.0,Medium,1,0,6,-0.18,-7.6,0
122,24+,Female,1,0,8.36,8.18,57.7,1,4.2,,High,1,1,5,0.18,4.9,0
123,18-20,Male,1,1,6.34,8.67,80.4,1,4.2,4.8,Low,0,1,3,-2.33,8.9,0
124,18-20,Male,1,0,6.49,7.78,,2,,6.4,Medium,0,0,8,-1.29,-3.4,1
125,18-20,Female,0,1,6.67,8.62,58.6,2,1.5,4.8,Medium,0,1,5,-1.95,-2.7,1
126,18-20,Male,0,1,5.26,8.33,53.5,1,4.2,5.9,Medium,0,0,2,-3.07,7.7,1
127,21-23,Male,1,1,5.04,6.93,61.0,0,,,Low,0,0,8,-1.89,1.3,1
128,24+,Male,1,0,7.31,,63.1,1,2.0,,Medium,1,1,5,-0.73,0.8,1
129,18-20,Male,0,1,7.79,5.92,,1,3.4,3.8,Medium,0,0,4,1.87,17.1,0
130,21-23,Male,1,0,7.41,7.39,73.6,3,,,High,0,0,3,0.02,-13.1,1
131,18-20,Female,0,0,5.55,6.02,79.7,2,3.5,5.7,Low,0,0,5,-0.47,-6.4,0
132,18-20,Male,0,0,7.28,7.09,100.0,3,2.2,5.8,Medium,1,0,8,0.19,4.6,1
133,18-20,Female,0,1,5.81,5.76,,3,3.6,3.1,Medium,0,0,7,0.05,-3.3,0
134,18-20,Male,0,0,7.21,8.29,99.5,2,3.7,8.0,High,1,1,2,-1.08,-5.3,0
135,24+,Female,0,1,7.93,6.81,56.6,0,,,Low,0,0,2,1.12,-16.3,0
136,18-20,Female,1,0,7.17,8.11,53.4,2,,9.5,Low,0,0,1,-0.94,-7.8,1
137,21-23,Female,1,1,9.656539712306058,7.12,91.3,5,4.5,7.0,Low,0,0,5,1.15,-6.6,0
138,21-23,Male,1,1,6.65,5.36,67.6,4,,5.8,Low,1,1,6,1.29,-1.9,0
139,18-20,Male,0,1,6.58,6.72,91.6,1,1.6,7.9,Medium,0,0,7,-0.14,5.3,0
140,24+,Female,1,0,6.87,6.67,68.4,1,2.9,3.9,Low,1,0,6,0.2,2.4,0
141,24+,Female,0,1,5.46,7.19,46.2,2,6.4,4.7,Low,0,1,6,-1.73,10.6,1
142,18-20,Male,0,1,6.4,8.71,65.6,1,3.0,4.4,Low,0,1,7,-2.31,-1.8,0
